2016,2017,2017/06/16,2017/07/12,30.4,,,2017/07/31,1.26,0.24,1.5,0,0,0,1.5,30.7,4.88
2015,2016,2016/06/07,2016/07/13,39.8,,,2016/08/02,3.8,0,3.8,0,0,0,3.8,43,8.84
2014,2015,2015/07/07,2015/08/11,61.6,,,2015/09/04,2.2,0,2.2,0,0,0,2.2,92.6,2.38
2013,2014,2014/06/18,2014/07/14,175.5,,,,2.1,0,2.1,0,0,0,2.1,166.4,1.26
2012,2013,2013/05/07,2013/06/06,83.1,,,,4.48,0,4.48,0,0,0,4.48,105.5,4.25
2011,2012,2012/06/06,2012/07/04,70.5,,,,2.6,1,3.6,0,0,0,3.6,75.2,4.79
2010,2011,2011/06/10,2011/07/06,71.7,,,,4.1,0,4.1,0,0,0,4.1,72.5,5.66
2009,2010,2010/06/15,2010/07/26,50.1,,,,2.31,0,2.31,0,0,0,2.31,54.3,4.25
2008,2009,2009/06/16,2009/07/20,28.55,2009/07/20,28.55,,1.56,0,1.56,1.5,0,1.5,3.06,32.4,9.44
2007,2008,2008/06/13,2008/07/31,37.45,2008/07/31,37.45,,3.1,0,3.1,0.5,0,0.5,3.6,38.6,9.34
2006,2007,2007/06/15,2007/08/02,67.4,2007/08/02,67.4,,3.49,0,3.49,0.97,0,0.97,4.46,58.9,7.58
2005,2006,2006/04/25,2006/06/08,42.6,,,,3.6,0,3.6,0,0,0,3.6,45.1,7.99
2004,2005,2005/06/10,2005/07/04,56.1,,,,3.8,0,3.8,0,0,0,3.8,59.4,6.4
2003,2004,2004/04/21,2004/05/19,65,2004/05/19,65,,2.9,0,2.9,1,0,1,3.9,69.1,5.64
2002,2003,2003/06/16,2003/07/16,52,2003/07/16,52,,1.2,0,1.2,1,0,1,2.2,59,3.73
2001,2002,2002/05/28,2002/06/26,,2002/06/26,,,1,0,1,1,1,2,3,,
2000,2001,,,,,,,0.7,0,0.7,0,1,1,1.7,,
1999,2000,,,,,,,0,0,0,0,0,0,0,,
