2016,2017,2017/05/26,2017/07/06,14.75,,,2017/07/26,0.82,0,0.82,0,0,0,0.82,15.9,5.14
2015,2016,2016/05/27,2016/06/24,13.45,,,2016/07/12,0.5,0,0.5,0,0,0,0.5,15.2,3.29
2014,2015,2015/06/18,2015/11/04,14.6,,,2015/11/23,0.42,0,0.42,0,0,0,0.42,14.8,2.83
2013,2014,2014/06/18,2014/08/07,16.55,,,2014/08/26,0.65,0,0.65,0,0,0,0.65,17.1,3.81
2012,2013,2013/06/14,2013/07/17,17.65,,,,0.41,0,0.41,0,0,0,0.41,16.5,2.49
2011,2012,2012/06/21,,,,,,0,0,0,0,0,0,0,10.8,0
2010,2011,2011/06/17,2011/07/14,12.4,,,,0.2,0,0.2,0,0,0,0.2,13.6,1.47
2009,2010,2010/06/18,2010/08/16,23.85,,,,0.35,0,0.35,0,0,0,0.35,22.4,1.56
2008,2009,2009/06/19,2009/07/21,12.7,,,,0.2,0,0.2,0,0,0,0.2,15.3,1.31
2007,2008,2008/06/13,2008/09/11,14.1,2008/09/11,14.1,,0.72,0,0.72,0.82,0,0.82,1.53,19.7,7.76
2006,2007,2007/06/15,2007/07/04,41.35,,,,1,0,1,0,0,0,1,35.7,2.8
2005,2006,2006/06/09,2006/08/03,22.8,,,,0.51,0,0.51,0,0,0,0.51,21.5,2.37
2004,2005,2005/06/10,,,,,,0,0,0,0,0,0,0,17.7,0
2003,2004,2004/06/18,,,,,,0,0,0,0,0,0,0,20.9,0
2002,2003,2003/06/17,2003/08/25,28.9,2003/08/25,28.9,,0.19,0,0.19,0.28,0.94,1.23,1.42,31.9,4.45
2001,2002,2002/05/17,2002/08/15,,2002/08/15,,,0.26,0,0.26,1.04,1.04,2.08,2.34,45.8,5.11
2000,2001,,,,,,,1,0,1,1.2,0,1.2,2.2,41.1,5.36
1999,2000,2000/04/12,2000/07/29,56,2000/07/29,56,,0.5,0,0.5,1.13,0.37,1.5,2,62.6,3.2
1998,1999,1999/05/29,1999/07/14,,1999/07/14,,,0.7,0,0.7,0.5,0.6,1.1,1.8,34.8,5.17
1997,1998,,,,,,,0,0,0,0.92,0.58,1.5,1.5,,
1996,1997,,,,,,,0,0,0,0.5,0.5,1,1,,
1995,1996,,,,,,,0,0,0,0.5,1,1.5,1.5,,
1994,1995,,,,,,,0,0,0,0,3,3,3,,
1993,1994,,,,,,,0,0,0,3.3,0.1,3.4,3.4,,
1992,1993,,,,,,,0,0,0,1.8,2.2,4,4,,
1990,1991,,,,,,,0,0,0,1.88,0,1.88,1.88,,
