2016,2017,2017/06/08,,,,,,0,0,0,0,0,0,0,9.59,0
2015,2016,2016/06/08,2016/07/05,8.29,,,2016/07/29,0.5,0,0.5,0,0,0,0.5,8.71,5.74
2014,2015,2015/06/10,2015/07/07,9.48,,,2015/08/03,0.5,0,0.5,0,0,0,0.5,9.37,5.34
2013,2014,2014/06/11,,,2014/07/31,10.2,,0,0,0,0.2,0.3,0.5,0.5,10,5
2012,2013,2013/06/13,2013/07/24,10.8,,,,0.6,0,0.6,0,0,0,0.6,10.7,5.59
2011,2012,2012/06/06,2012/08/02,9.9,2012/08/02,9.9,,0.5,0,0.5,0.3,0,0.3,0.8,11.2,7.14
2010,2011,2011/06/15,2011/08/02,14.45,2011/08/02,14.45,,0.5,0,0.5,1.3,0,1.3,1.8,14.3,12.61
2009,2010,2010/06/17,2010/07/20,11.85,2010/07/20,11.85,,0.8,0,0.8,0,0.2,0.2,1,13.1,7.62
2008,2009,,,,,,,0,0,0,0,0,0,0,5.61,0
2007,2008,2008/06/13,,,2008/07/24,6.91,,0,0,0,0,0.5,0.5,0.5,7.2,6.94
2006,2007,,,,,,,0,0,0,0,0,0,0,8.56,0
2005,2006,2006/06/14,,,,,,0,0,0,0,0,0,0,3.64,0
2004,2005,2005/06/10,,,,,,0,0,0,0,0,0,0,4.55,0
2003,2004,2004/06/03,,,,,,0,0,0,0,0,0,0,6.63,0
2002,2003,2003/06/30,,,,,,0,0,0,0,0,0,0,6.58,0
2001,2002,2002/06/12,,,,,,0,0,0,0,0,0,0,5.79,0
2000,2001,2001/06/13,,,,,,0,0,0,0,0,0,0,3.35,0
1999,2000,2000/04/26,,,,,,0,0,0,0,0,0,0,7.25,0
1998,1999,1999/05/27,,,1999/07/17,,,0,0,0,0,0.6,0.6,0.6,12.4,4.83
1997,1998,1998/04/23,,,1998/05/21,,,0,0,0,1,1,2,2,20.7,9.66
1996,1997,1997/05/07,,,1997/06/16,,,0,0,0,1,0.5,1.5,1.5,24.4,6.16
1995,1996,1996/06/05,,,,,,0,0,0,1,0.5,1.5,1.5,23.6,6.37
1994,1995,1995/05/10,,,1995/07/06,21.2,,0,0,0,1,0.7,1.7,1.7,28.6,5.95
1993,1994,1994/04/26,,,1994/07/22,31.2,,0,0,0,1.2,1,2.2,2.2,37.8,5.82
1992,1993,,,,,,,0,0,0,1,1,2,2,41.1,4.87
1991,1992,1992/03/27,,,1992/05/19,48.8,,0,0,0,1,1,2,2,50.4,3.97
1990,1991,1991/04/24,1991/07/25,61.5,1991/07/25,61.5,,0.5,0,0.5,1,0.5,1.5,2,65.8,3.04
1989,1990,,,,,,,0,0,0,1.3,0.04,1.34,1.34,,
1988,1989,,,,,,,0,0,0,3.4,1.33,4.73,4.73,,
1987,1988,,,,,,,0,0,0,1,0,1,1,,
