2016,2017,2017/06/23,,,2017/09/14,14.8,,0,0,0,0.87,0,0.87,0.87,16.1,5.41
2015,2016,2016/06/21,,,2016/08/26,14.9,,0,0,0,0,0.5,0.5,0.5,15.8,3.15
2014,2015,2015/06/25,2015/08/03,17,2015/08/03,17,2015/08/28,0.3,0,0.3,1,0,1,1.3,18.3,7.12
2013,2014,2014/06/27,,,2014/04/25,17.3,,0,0,0,0,0.5,0.5,0.5,17.9,2.79
2012,2013,2013/06/19,,,2013/08/05,17.5,,0,0,0,0.6,0,0.6,0.6,18.1,3.31
2011,2012,2012/06/20,,,,,,0,0,0,0,0,0,0,18.1,0
2010,2011,2011/06/28,,,,,,0.22,0,0.22,0.21,0,0.21,0.43,,
2009,2010,2010/06/18,,,,2.2,,0,0,0,2.2,0,2.2,2.2,,
2008,2009,2009/06/19,,,,,,0,0,0,0,0,0,0,,
