2016,2017,2017/06/14,2017/07/20,86.3,,,2017/08/16,6,2,8,0,0,0,8,78.8,10.15
2015,2016,2016/06/07,2016/07/20,51.5,,,2016/08/15,3.8,0.2,4,0,0,0,4,58.6,6.83
2014,2015,2015/06/10,2015/07/30,37.5,,,2015/08/28,3,0.5,3.5,0,0,0,3.5,42.9,8.15
2013,2014,2014/06/24,2014/08/19,46.15,,,2014/09/15,3,0,3,0,0,0,3,46.6,6.44
2012,2013,2013/06/14,2013/08/02,45.85,,,,1.52,1.52,3.04,0,0,0,3.04,49.6,6.13
2011,2012,2012/06/15,2012/07/06,63,,,,2,2,4,0,0,0,4,63.6,6.29
2010,2011,2011/06/24,2011/07/29,,,,,2.5,0,2.5,0,0,0,2.5,59.9,4.18
2009,2010,2010/06/30,2010/08/09,,,,,3.5,0,3.5,0,0,0,3.5,,
2008,2009,2009/06/30,,,,,,1.41,0,1.41,0,0,0,1.41,,
