2016,2017,2017/06/20,2017/07/11,15.25,,,2017/08/15,0.1,0,0.1,0,0,0,0.1,13.6,0.73
2015,2016,2016/06/24,2016/07/11,10.7,,,2016/08/16,0.2,0,0.2,0,0,0,0.2,10.6,1.89
2014,2015,2015/06/08,2015/07/09,13.45,,,2015/08/12,0.7,0,0.7,0,0,0,0.7,13.5,5.19
2013,2014,2014/06/19,2014/07/16,15,2014/07/16,15,2014/08/12,0.01,0.14,0.15,0,0,0,0.15,12.8,1.17
2012,2013,2013/06/19,,,,,,0,0,0,0,0,0,0,14.9,0
2011,2012,2012/06/29,,,,,,0,0,0,0,0,0,0,12.5,0
2010,2011,2011/06/28,,,,,,0,0,0,0,0,0,0,21.8,0
2009,2010,2010/06/29,,,,,,0,0,0,0,0,0,0,41.5,0
2008,2009,2009/06/19,2009/08/14,40.85,2009/08/14,40.85,,0.2,0,0.2,0.3,0,0.3,0.5,39.3,1.27
2007,2008,2008/06/13,2008/08/14,50.5,2008/08/14,50.5,,1.5,0,1.5,1,0,1,2.5,58.9,4.24
2006,2007,2007/06/13,2007/08/27,137,2007/08/27,137,,0.2,0,0.2,0.4,0,0.4,0.6,114.8,0.52
2005,2006,,,,,,,0,0,0,0,0,0,0,55.2,0
2004,2005,,,,,,,0,0,0,0,0,0,0,,
